"pg_num","url","pros","cons"
50,"https://www.glassdoor.com/Reviews/Amazon-com-Reviews-E6036_P50.htm","You're surrounded by smart people and the projects are interesting, if a little daunting.","Internal tools proliferation has created a mess for trying to get to basic information. Most people are required to learn/understand SQL Database queries to get any actionable data."
50,"https://www.glassdoor.com/Reviews/Amazon-com-Reviews-E6036_P50.htm","Brand name is great. Have yet to meet somebody who is unfamiliar with Amazon. Hours weren't as bad as I had previously heard. But i guess can be long for corporate finance","not the most stimulating work. Good brand name to work for but the work itself is mundane as it can get. As a financial analyst you do very little finance."
50,"https://www.glassdoor.com/Reviews/Amazon-com-Reviews-E6036_P50.htm","Good money.Interaction with some great minds in the world during internal conferences and sessions.Of course the pride of being a part of earth's most customer centric experience","No proper growth plan for employees.Difficult promotion process requiring a lot more documentation than your actual deliverable."
50,"https://www.glassdoor.com/Reviews/Amazon-com-Reviews-E6036_P50.htm","nice pay and overtime and different shifts","didn't last quite long enough"
50,"https://www.glassdoor.com/Reviews/Amazon-com-Reviews-E6036_P50.htm","Opportunity for those not afraid to work!","Opportunity takes time up to two plus years!"
50,"https://www.glassdoor.com/Reviews/Amazon-com-Reviews-E6036_P50.htm","Pay was good, benefits from day one, meet a lot of new people, a lot of fun contests, and great giveaways. They keep you hydrated with the endless water supply","Long hours with only two 15 minute breaks and half hour lunch, so to have to stand on concrete without being able to sit is hard. Good luck trying to get the days that work for your life when you start. They tell you what days yo have to work. Either except it or move on. Do not get sick while working there. People have gotten fired for fainting at work. If you aren't fast enough to make a ridiculously high rate, the??Show More"
50,"https://www.glassdoor.com/Reviews/Amazon-com-Reviews-E6036_P50.htm","Got to meet some decent people from jersey, when it's a little warmer out its nice ride from philly to jersey","the hours are too long, you have to stand up the whole shift, you can't bring your phone in, there's no entertainment to keep you focused, it's always freezing, it's way too loud, the breaks are too short"
50,"https://www.glassdoor.com/Reviews/Amazon-com-Reviews-E6036_P50.htm","The salary is good for the work involved. They offer stock however only after a year of employment at the company.","Management and Human Resources do not communicate to floor employees. The culture there seems to adhere to a he said/she said and if you are young and inexperienced in the work environment you will be wrong and targeted. There is no growing in this company even if promises are made. I do not recommend this company if you are a first time employee especially since they take no part in grooming you or helping you. They??Show More"
50,"https://www.glassdoor.com/Reviews/Amazon-com-Reviews-E6036_P50.htm","Great company, great people. One of the biggest benefits is being able to reference Amazon as a recent workplace on your resume.","For being such a prestigious company, the benefits were very average."
50,"https://www.glassdoor.com/Reviews/Amazon-com-Reviews-E6036_P50.htm","Not too intense. Lots of outdoor activities during. The people are nice. Everyone is assigned a mentor. The salary was good as well.","It was not a very interesting project. The challenge was more on the operational side instead of in the research side. Do not allow publication."
49,"https://www.glassdoor.com/Reviews/Amazon-com-Reviews-E6036_P49.htm","Decent pay, but there are far better opportunities in the area","Management is very poor"
49,"https://www.glassdoor.com/Reviews/Amazon-com-Reviews-E6036_P49.htm","Co-workers and management teams were generally upbeat, and it was easy to get help when you needed it most. This was a work at home position, and the hours were steady.","Plenty of IT issues, lack of compassion from the higher ups, and somewhat a lack of ambition from some of the management staff"
49,"https://www.glassdoor.com/Reviews/Amazon-com-Reviews-E6036_P49.htm","good benefits, guaranteed 40hrs a week, paid time off , ect","mandatory overtime at random times, over worked for not much pay, have to use paid time or un paid time on overtime days"
49,"https://www.glassdoor.com/Reviews/Amazon-com-Reviews-E6036_P49.htm","you get a great pay and it helps you out with getting other cleaning jobs","after a while it gets boring"
49,"https://www.glassdoor.com/Reviews/Amazon-com-Reviews-E6036_P49.htm","Great pay. Great people. Great.","Too hard. Too much standing."
49,"https://www.glassdoor.com/Reviews/Amazon-com-Reviews-E6036_P49.htm","Great chances for promotions. The company is growing fast year after year. You can get a promotion every year. You work hard but play hard as well. They take good care of each other.","Like most retail jobs the hours can be very long. Especially during the holiday season."
49,"https://www.glassdoor.com/Reviews/Amazon-com-Reviews-E6036_P49.htm","Fun working environment, challenging, lots of people to interact with, lots of overtime bumps your pay way higher than the estimated (up to $25,000+ a year), typically get 3 day weekend unless it's the holiday season.","Long working days (no more than 12hrs/day), lots to remember, pressure can build up for short periods of time."
49,"https://www.glassdoor.com/Reviews/Amazon-com-Reviews-E6036_P49.htm","The people are great too work around and they try to fix all situations","A little unorganized but nothing thst can't be fixed"
49,"https://www.glassdoor.com/Reviews/Amazon-com-Reviews-E6036_P49.htm","Very productive learning experience, and great company to start your career","No work life balance for software engineers"
49,"https://www.glassdoor.com/Reviews/Amazon-com-Reviews-E6036_P49.htm","lots of over time.. make great money","managers expect workers to work like robots and achieve high rates. lots of favortism"
