pg_num,url,pros,cons
1,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P1.htm,"* If you're a software engineer, you're among the kings of the hill at Google. It's an engineer-driven company without a doubt (that *is* changing, but it's still very engineer-focused).","* It *is* becoming larger, and with it comes growing pains: bureaucracy, slow to respond to market threats, bloated teams, cross-divisional tension (though nothing remotely approaching that of Microsoft's internal tension)."
1,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P1.htm,"1) Food, food, food. 15+ cafes on main campus (MTV) alone. Mini-kitchens, snacks, drinks, free breakfast/lunch/dinner, all day, errr'day.","1) Work/life balance. What balance? All those perks and benefits are an illusion. They keep you at work and they help you to be more productive. I've never met anybody at Google who actually time off on weekends or on vacations. You may not hear management say, ""You have to work on weekends/vacations"" but, they set the culture by doing so - and it inevitably trickles down. I don't know if Google inadvertently hires t… Show More"
1,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P1.htm,You can't find a more well-regarded company that actually deserves the hype it gets.,I live in SF so the commute can take between 1.5 hours to 1.75 hours each way on the shuttle - sometimes 2 hours each way on a busy day or rainy day. That means being on the bus for 3-4 hours PER DAY. It's a wired bus though which means you can work on the way to Mountain View. But it can feel brutal.
1,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P1.htm,"- You drive yourself here. If you want to grow, you have to seek out opportunities and prove that your worth. This keeps you motivated.","- Google is a big company. So there are going to be winners and losers when it comes to career growth. Due to the high hiring bar, most people who don't win are smart people as well and their experience sours. This place is optimized to avoid false positives in every step and false negatives are inevitable. At least when you get promoted, you can feel good that you have truly done something."
1,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P1.htm,"Teamwork, always someone who can help, competitive, fun environment, free food, intelligent colleagues everywhere",not family-friendly now that I have kids - I don't wan to spend time playing ping pong and taking advantage of free fun events. I want to get home with my kids.
1,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P1.htm,"Great culture, smart, motivated employees","Can be cloistered, ivory tower"
1,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P1.htm,The best company I have been to! Learnt a lot and I love the working environment.,Very big company. Hard to be visible and remember people that you have worked with.
1,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P1.htm,"Really intelligent people to work with, great infrastructure and tools, focus on excellence.",Traffic into work can be discouraging.
1,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P1.htm,"Incredibly smart coworkers, best tools I've ever used, silly offices, free food, one project can affect millions of people and dollars.","Imposter syndrome. For me, long commute. Twenty percent time is hard to make time for. The delicious food will make you fat."
1,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P1.htm,Seemingly unlimited resources; work with top/diverse talent from across the globe; amazing perks from food to testing of prototype consumer technologies.,Extremely competitive; take home pay is not as high as non-Googlers assume it is; many poorly socialized individuals around.
2,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P2.htm,Everyone is vibrant and high-energy. Truly a fun place to get your nerd on. Oh and we do work sometimes. The campus is huge and contains many perks such as a gym and cafeteria.,The projects are fast paced so be prepared. We work nonstop although it's not always a serious environment. During breaks we tend to avoid talking about work because we are always so busy with it.
2,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P2.htm,Smart people who are passionate about their job.,Tons of bureaucracy. Promotions are made unnecessarily difficult.
2,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P2.htm,There a huge diversity of work ranging from defending independent journalism worldwide (Google Project Shield).,"The company is becoming bigger and bigger each year, which brings on its own problems."
2,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P2.htm,"Super smart people, engineering culture.",Not too many career advance opportunities.
2,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P2.htm,great teams and location and food,the worst thing in the area is traffic
2,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P2.htm,"Smart co-workers, challenging problems, great perks",Can't think of any at the moment
2,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P2.htm,Amazing place to work - great people and great benefits,This is not a place to coast - come ready to make a difference.
2,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P2.htm,Exciting to work in a company that powers billions of people's lives everyday.,Becoming more conventional as size grows with a limited scope of what one can do.
2,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P2.htm,+ Awesome projects,"- Size of the company is huge, so don't expect startup culture."
2,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P2.htm,"Very impactful work, great coworkers, good work-life balance, some interesting projects.","Due to the size of the company, different divisions of Google have different cultures. It can be hard for job applicants to know which divisions they want to work in."
4,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P4.htm,"There benifits are good,and it will bring you a lot of good things for your family.",Good company ever...i recomment to any one who is currently looking for there good job.
4,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P4.htm,"Google is the best company to work for. The perks are amazing, every detail is considered! The work is interesting and colleagues smart and fun to work with.",It can be a little intimidating when everyone is at the top of their game. When everyone's a high performer it's very hard to stand out.
4,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P4.htm,"Google deserves every bit of its ""Best Company to Work For"" reputation. My own experience was in getting to build a business from scratch inside the company and watching it flourish.","The bureaucracy and big company feel is starting to creep in. Despite a ""Bureaucracy Busters"" campaign, there are days I feel like I am attaching a cover sheet to my TPS report."
4,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P4.htm,"Good infrastructure, good people to work with, nice perks.",The company is too big to get anything done reasonably easy.
4,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P4.htm,"Amazing benefits, good pay, extremely intelligent people, engaging work that impacts a lot of people. Managers are competent, and promotion is meritocratic.",Main offices are in expensive areas. Oncall rotations interfere with work-life balance.
4,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P4.htm,Great perks. Flexible schedule. Meet great people.,To many managers. To many meetings. Favoritism place a huge role with management.
4,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P4.htm,"There are so many great benefits at Google. Food, exercise classes, and the work spaces are just great. Great sense of freedom and that you are in control of what you're working on",Google is a huge company. Sometimes feels like you get lost in what you're doing. Great company but definitely feels big.
4,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P4.htm,"Tons of perks, good pay. If you have the chance, it's worth working there and experiencing it!","Workload can be daunting at times, FTE's and TVC's are viewed VERY differently in the culture."
4,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P4.htm,"Friendly and competitive environment,unlimited food and perks.I have worked for google more than 3 years and always felt this place like my second home.","Work during weekends,nothing particular."
4,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P4.htm,- Extremely smart and nice people,- Mature products move slow due to size and complexity
